0000000000032681|KSS5485|003500021756|0000001000
0000010000006035|LCM3367|007100026418|0000009000
0000020000025498|LJH2475|073900031136|0000003000
0000030000001292|KHJ9129|064400013132|0000007000
0000040000020645|LSH4982|079800010369|0000007000
0000050000025941|CSi7270|054800026667|0000007000
0000060000008260|PKH6309|070000020743|0000001000
0000070000004628|PJY2668|093400005668|0000007000
0000080000022886|HJH2269|057500015952|0000001000
0000090000001695|LHM2552|035300004465|0000007000
0000100000027884|LSC9265|030900006684|0000008000
0000110000001155|LSM716|046000010031|0000003000
0000120000016940|HCJ6360|007400014017|0000002000
0000130000002048|KCG3958|058000013197|0000000000
0000140000004977|KCH4441|069900012866|0000005000
0000150000003211|LCH688|068200013341|0000003000
0000160000006778|KSG7742|093300024266|0000004000
0000170000008523|CCY1777|052200027354|0000002000
0000180000003319|PHH5602|086000004995|0000004000
0000190000019869|KJi9601|088500019894|0000004000
0000200000026895|SCM2700|073200025208|0000006000
0000210000017808|LCG9630|015200000197|0000007000
0000220000004572|PYG6118|081200010753|0000004000
0000230000028265|CKC6817|042700005033|0000004000
0000240000015341|LHY3208|001300032655|0000003000
0000250000013088|KDY5815|037100000613|0000004000
0000260000010691|HWi7509|085500028309|0000003000
0000270000010465|LKJ1726|068000007896|0000000000
0000280000014421|PKH1987|068500012497|0000001000
0000290000000908|KSY2703|041500019128|0000004000
0000300000015244|KSH6861|005200002486|0000008000
0000310000023093|KJH5106|021000002183|0000005000
0000320000010951|CSY8042|096800022118|0000009000
0000330000015269|LSM8453|041100028342|0000007000
0000340000007513|KJi5979|040000004416|0000003000
0000350000004823|CJY2366|009200031746|0000006000
0000360000005894|LHM2552|071600030773|0000006000
0000370000023420|KKH3959|054600012726|0000002000
0000380000009353|CJG4381|084600018904|0000004000
0000390000009848|LKM8621|079000016488|0000004000
0000400000018449|LJH3271|051800012589|0000002000
0000410000028259|LCM2978|001900019131|0000005000
0000420000013760|PKY4872|000400004322|0000002000
0000430000015368|HYH8694|093000009748|0000008000
0000440000024619|PJJ3473|001800031676|0000009000
0000450000006889|LSY2758|051300022460|0000007000
0000460000021724|LSY6706|056000024954|0000007000
0000470000023993|PWM6381|025500016595|0000004000
